Eta,Mu,Layers,Neurons,Offline,Error Function,Train Mean,Train Std,Test Mean,Test Std
0.09866209951183932,0.4860130941050367,1,8,0,0,0.00052366,9.7903e-05,0.00052366,9.7903e-05
0.10471532287823208,0.48206359434343093,2,16,0,0,0.000199781,7.15407e-05,0.000199781,7.15407e-05
0.026927613895976695,0.6199872159766499,2,16,0,0,0.000199414,6.09763e-05,0.000199414,6.09763e-05
0.21624936923193866,0.6854847234783774,2,8,0,0,0.00012217,3.52289e-05,0.00012217,3.52289e-05
0.07162450438371241,0.42103421755245424,1,8,0,0,0.00063977,0.000117706,0.00063977,0.000117706
0.015081295920010056,0.6043346018239131,2,8,0,0,0.000189355,5.47419e-05,0.000189355,5.47419e-05
0.08973509756817544,0.35379922276356346,2,8,0,0,0.000239491,3.94729e-05,0.000239491,3.94729e-05
0.06358761579070318,0.5215276286548444,1,16,0,0,0.000305773,1.64388e-05,0.000305773,1.64388e-05
0.05203544668635068,0.5323953842653875,2,8,0,0,0.000195544,5.47743e-05,0.000195544,5.47743e-05
0.13771627059842922,0.674371826386473,1,8,0,0,0.000360637,7.17262e-05,0.000360637,7.17262e-05
0.22153823747215906,0.5271814859616605,1,8,0,0,0.000394053,7.50101e-05,0.000394053,7.50101e-05
0.15944930999796542,0.7517607660135691,2,8,0,0,0.000116987,3.51647e-05,0.000116987,3.51647e-05
0.3081641945768099,0.7356582513475561,2,8,0,0,9.9249e-05,2.9709e-05,9.9249e-05,2.9709e-05
0.14902462575653141,0.4093080663207463,1,8,0,0,0.000553533,0.000102248,0.000553533,0.000102248
0.12328131983552654,0.5331950916699737,1,8,0,0,0.000457818,8.66667e-05,0.000457818,8.66667e-05
0.03191489088031048,0.7200803598172751,2,8,0,0,0.100412,0.20053,0.100412,0.20053
0.1990864140856445,0.7355618458433634,1,8,0,0,0.000310573,6.4282e-05,0.000310573,6.4282e-05
0.004492800124282829,0.3820398955250885,2,8,0,0,0.000284079,4.88588e-05,0.000284079,4.88588e-05
0.06300521035491591,0.7298584367980676,1,8,0,0,0.000372996,7.76525e-05,0.000372996,7.76525e-05
0.22430616777685175,0.7740694962281998,2,8,0,0,0.00010569,3.16275e-05,0.00010569,3.16275e-05
0.17905793631376538,0.8690232308271585,2,8,0,0,0.000101118,3.05295e-05,0.000101118,3.05295e-05
0.2811110566224049,0.6420285964809601,1,16,0,0,0.000181687,1.10638e-05,0.000181687,1.10638e-05
0.29167617897448744,0.7496013215301511,2,8,0,0,0.000100223,2.99315e-05,0.000100223,2.99315e-05
0.22154703969810646,0.9593338703340497,1,8,0,0,0.000230004,4.4377e-05,0.000230004,4.4377e-05
0.005744890842251526,0.6908819348276843,2,8,0,0,0.000164914,4.92266e-05,0.000164914,4.92266e-05
0.27232125807426866,0.7222126576097767,2,8,0,0,0.000104393,3.15571e-05,0.000104393,3.15571e-05
0.16990286287769177,0.5356775685840889,1,16,0,0,0.000247403,1.36324e-05,0.000247403,1.36324e-05
