eta  ,mu  ,layers ,neurons ,offline ,error_function ,train_mean  ,train_std   ,test_mean   ,test_std
0.01 ,0.1 ,     2 ,     64 ,      0 ,             1 ,0.0385      ,0.00125265  ,0.0385      ,0.00125265
0.01 ,0.1 ,     2 ,     64 ,      1 ,             0 ,0.0016027   ,4.84615e-05 ,0.0016027   ,4.84615e-05
0.01 ,0.1 ,     2 ,     64 ,      1 ,             1 ,0.0399831   ,0.00104573  ,0.0399831   ,0.00104573
0.01 ,0.1 ,     3 ,      2 ,      0 ,             0 ,0.497022    ,0.00589091  ,0.497022    ,0.00589091
0.01 ,0.1 ,     3 ,      2 ,      0 ,             1 ,0.692616    ,0.0011033   ,0.692616    ,0.0011033
0.01 ,0.1 ,     3 ,      2 ,      1 ,             0 ,0.493339    ,0.0133175   ,0.493339    ,0.0133175
0.01 ,0.1 ,     3 ,      2 ,      1 ,             1 ,0.692608    ,0.0012948   ,0.692608    ,0.0012948
0.01 ,0.1 ,     3 ,      4 ,      0 ,             0 ,0.484532    ,0.0210237   ,0.484532    ,0.0210237
0.01 ,0.1 ,     3 ,      4 ,      0 ,             1 ,0.691229    ,0.00113905  ,0.691229    ,0.00113905
0.01 ,0.1 ,     3 ,      4 ,      1 ,             0 ,0.472091    ,0.0368874   ,0.472091    ,0.0368874
0.01 ,0.1 ,     3 ,      4 ,      1 ,             1 ,0.691208    ,0.00113873  ,0.691208    ,0.00113873
0.01 ,0.1 ,     3 ,      8 ,      0 ,             0 ,0.104221    ,0.11778     ,0.104221    ,0.11778
0.01 ,0.1 ,     3 ,      8 ,      0 ,             1 ,0.667014    ,0.0126594   ,0.667014    ,0.0126594
0.01 ,0.1 ,     3 ,      8 ,      1 ,             0 ,0.0943974   ,0.11016     ,0.0943974   ,0.11016
0.01 ,0.1 ,     3 ,      8 ,      1 ,             1 ,0.665381    ,0.0143492   ,0.665381    ,0.0143492
0.01 ,0.1 ,     3 ,     16 ,      0 ,             0 ,0.00253505  ,0.000626204 ,0.00253505  ,0.000626204
