eta,mu,layers,neurons,offline,error_function,train_mean,train_std,test_mean,test_std
0.0022869103383818075,0.4096028170126683,2,16,0,0,0.906034,0.0234148,0.889276,0.0405009
0.0587081385912595,0.48859583319432165,1,8,0,0,0.949983,0.106206,0.949145,0.124971
0.0008915634875403104,0.6517976253665083,1,8,0,0,0.588926,0.0835742,0.583924,0.0773583
0.07433491122444347,0.6688346564202892,2,16,0,0,0.949273,0.0414185,0.924169,0.0619161
0.0014169245639548873,0.4389453650048779,1,16,0,0,0.61049,0.0576566,0.599024,0.049718
0.16103498709566136,0.32715395681329507,2,16,0,0,0.949273,0.0414185,0.924169,0.0619161
0.01204943137740368,0.38363657112713484,2,8,0,0,0.906932,0.111581,0.893929,0.133886
0.008362564075488165,0.5811813295585562,1,16,0,0,0.918999,0.045549,0.900708,0.0500292
0.16018880703283975,0.5911404245604582,1,16,0,0,0.949273,0.0414185,0.924169,0.0619161
0.005445981396884394,0.6016090483012855,1,16,0,0,0.91819,0.0369585,0.894623,0.0531952
0.052344027777448024,0.31996986762046525,2,16,0,0,0.949273,0.0414187,0.924169,0.0619161
0.065239779695488,0.4958218133575125,1,16,0,0,0.949273,0.0414185,0.924169,0.0619161
0.0009516979855268516,0.5809449961596258,1,16,0,0,0.606799,0.0828951,0.596652,0.0761525
0.050229763650440684,0.49679647054152787,2,8,0,0,0.967433,0.0836054,0.966174,0.1042
0.01614424141516669,0.5254006808039702,1,8,0,0,0.808557,0.15062,0.796401,0.154097
0.006797731959150762,0.5774702236814293,1,8,0,0,0.790139,0.189789,0.782544,0.194873
0.03466560108777354,0.450697936050075,1,16,0,0,0.949267,0.0414112,0.924163,0.0619088
0.06807256251941332,0.604499163718477,2,16,0,0,0.949273,0.0414185,0.924169,0.0619161
0.0008082946550831481,0.42164906444226236,1,16,0,0,0.591882,0.0690604,0.585164,0.0640594
0.057483963982199265,0.4940308362892243,1,16,0,0,0.949273,0.0414185,0.924169,0.0619161
0.026808558116746744,0.5981231343002554,1,16,0,0,0.949225,0.0413601,0.924121,0.0618583
0.0001295475690046769,0.5142650347098175,1,16,0,0,0.628277,0.0830074,0.631308,0.0891981
0.02874611551194219,0.4243346453819845,1,8,0,0,0.872618,0.132625,0.86755,0.144393
0.0013795537556125503,0.5888693467917114,1,16,0,0,0.710227,0.0981428,0.705058,0.11276
0.008944744077925062,0.5890766962411377,1,16,0,0,0.919811,0.0451937,0.90173,0.0497505
0.002677760060344598,0.5265500183143474,1,16,0,0,0.788691,0.0480757,0.761506,0.0438581
0.0007076896705659955,0.5084191189887427,1,8,0,0,0.570445,0.067005,0.564946,0.0630025
0.010484783635355321,0.3659303609273869,2,16,0,0,0.924018,0.0772976,0.900392,0.0921897
