eta,mu,layers,neurons,offline,error_function,train_mean,train_std,test_mean,test_std
0.0026597991642985687,0.4744097829787987,2,16,0,0,0.000603904,0.000209552,0.000603904,0.000209552
0.005140990181386349,0.7249743765639042,2,16,0,0,0.000403771,9.35216e-05,0.000403771,9.35216e-05
0.11173991586131649,0.5100548235785318,1,16,0,0,0.000632968,3.17229e-05,0.000632968,3.17229e-05
0.0014160291599698124,0.5612994627632397,1,8,0,0,0.00123578,0.00023049,0.00123578,0.00023049
0.14026397464306614,0.44531861709625453,1,16,0,0,0.000683382,3.58919e-05,0.000683382,3.58919e-05
0.02351096346533719,0.6214077297693275,1,16,0,0,0.000599062,3.14191e-05,0.000599062,3.14191e-05
0.0005688138330739569,0.4282749308478426,1,16,0,0,0.000994407,5.21652e-05,0.000994407,5.21652e-05
0.022211320433516778,0.43922355091045107,1,16,0,0,0.00090903,4.7094e-05,0.00090903,4.7094e-05
0.07518258081361803,0.324193068143005,2,8,0,0,0.000669039,0.000135502,0.000669039,0.000135502
0.005650256160981322,0.48419554460442404,2,16,0,0,0.000585435,0.000201592,0.000585435,0.000201592
0.0571356604448425,0.5545479709816983,2,16,0,0,0.000463631,0.00015544,0.000463631,0.00015544
0.01530245330837572,0.5778084804653182,2,16,0,0,0.000499236,0.000153354,0.000499236,0.000153354
0.06838442144772591,0.5776018154095421,1,8,0,0,0.0010454,0.0001972,0.0010454,0.0001972
0.0001242002178454125,0.667459677233061,1,16,0,0,0.000572061,3.13851e-05,0.000572061,3.13851e-05
0.023010943883040265,0.45513616386563466,2,16,0,0,0.000601166,0.000213009,0.000601166,0.000213009
0.016764039731247335,0.715781375455312,1,16,0,0,0.000511426,2.96451e-05,0.000511426,2.96451e-05
0.0004129787618762721,0.4696893978755612,2,16,0,0,0.00061518,0.000213829,0.00061518,0.000213829
0.12439534591842702,0.399757369668438,2,16,0,0,0.000521598,0.000194328,0.000521598,0.000194328
0.23644724086407343,0.6993991507971941,2,16,0,0,0.000300716,8.05747e-05,0.000300716,8.05747e-05
0.09275467927125186,0.6904946286917268,2,16,0,0,0.000370864,0.000102408,0.000370864,0.000102408
0.039178359807466485,0.37222866231268664,2,16,0,0,0.000684149,0.000228883,0.000684149,0.000228883
0.2031940620042707,0.6333996243926661,2,16,0,0,0.000336892,9.97338e-05,0.000336892,9.97338e-05
0.012049090656519944,0.6589567216312165,2,16,0,0,0.000442961,0.000122861,0.000442961,0.000122861
0.06108047053627863,0.5829540798082793,2,16,0,0,0.000449725,0.000139466,0.000449725,0.000139466
0.00794006435654826,0.6904374167888053,2,16,0,0,0.000424676,0.000108504,0.000424676,0.000108504
0.1259683162612159,0.6063473933354713,2,16,0,0,0.000389772,0.000119074,0.000389772,0.000119074
0.07940050056693215,0.44337019040475933,2,16,0,0,0.000534566,0.000194911,0.000534566,0.000194911
0.05061717318204978,0.928791034219123,2,16,0,0,0.000291645,4.14683e-05,0.000291645,4.14683e-05
0.17129531551396654,0.5007565772762117,2,8,0,0,0.000376517,0.000104759,0.000376517,0.000104759
0.12988912731776414,0.702577918004456,2,16,0,0,0.000344895,9.27695e-05,0.000344895,9.27695e-05
0.19512089640357,0.6505720531314938,2,8,0,0,0.000299154,9.13466e-05,0.000299154,9.13466e-05
0.07957837375945911,0.6712522339114203,2,16,0,0,0.000388081,0.000111219,0.000388081,0.000111219
0.3042848680129723,0.4815973950612496,2,16,0,0,0.000322928,0.000114484,0.000322928,0.000114484
0.29278079720577477,0.601899403100896,2,16,0,0,0.000302315,9.7848e-05,0.000302315,9.7848e-05
0.23472190229624557,0.6396457724080583,2,16,0,0,0.000320757,9.52097e-05,0.000320757,9.52097e-05
0.0823909450158336,0.599437894559887,2,8,0,0,0.00039061,0.000121448,0.00039061,0.000121448
0.1294584663364231,0.7931119421545613,2,16,0,0,0.000304908,6.37428e-05,0.000304908,6.37428e-05
