Top 1:
**********
SEED 1
**********
Running Online Backpropagation...
Iteration 114	 Training error: 0.571501	 Test error: 0.586692
Iteration 115	 Training error: 0.532489	 Test error: 0.557598
Iteration 116	 Training error: 0.671917	 Test error: 0.677002
Iteration 117	 Training error: 0.686323	 Test error: 0.697817
Iteration 118	 Training error: 0.636157	 Test error: 0.636358
Iteration 119	 Training error: 0.635674	 Test error: 0.622917
Iteration 120	 Training error: 0.670104	 Test error: 0.651265
Iteration 121	 Training error: 0.710234	 Test error: 0.757972
Iteration 122	 Training error: 0.754479	 Test error: 0.802762
Iteration 123	 Training error: 0.644022	 Test error: 0.665587
Iteration 124	 Training error: 0.539606	 Test error: 0.579608
Iteration 125	 Training error: 0.591059	 Test error: 0.620619
Iteration 126	 Training error: 0.572319	 Test error: 0.6028
Iteration 127	 Training error: 0.570625	 Test error: 0.596535
Iteration 128	 Training error: 0.610096	 Test error: 0.639065
Iteration 129	 Training error: 0.560012	 Test error: 0.623733
Iteration 130	 Training error: 0.504947	 Test error: 0.582738
Iteration 131	 Training error: 0.453981	 Test error: 0.492688
Iteration 132	 Training error: 0.560676	 Test error: 0.572585
Iteration 133	 Training error: 0.495144	 Test error: 0.508188
Iteration 134	 Training error: 0.542212	 Test error: 0.550073
Iteration 135	 Training error: 0.550648	 Test error: 0.538345
Iteration 136	 Training error: 0.471805	 Test error: 0.495373
Iteration 137	 Training error: 0.497656	 Test error: 0.52392
Iteration 138	 Training error: 0.571382	 Test error: 0.545418
Iteration 139	 Training error: 0.615383	 Test error: 0.610609
Iteration 140	 Training error: 0.604582	 Test error: 0.663037
Iteration 141	 Training error: 0.502469	 Test error: 0.526302
Iteration 142	 Training error: 0.524891	 Test error: 0.538263
Iteration 143	 Training error: 0.561424	 Test error: 0.570549
Iteration 144	 Training error: 0.603305	 Test error: 0.556956
Iteration 145	 Training error: 0.695303	 Test error: 0.661793
Iteration 146	 Training error: 0.723248	 Test error: 0.677581
Iteration 147	 Training error: 0.628021	 Test error: 0.610153
