eta ,mu  ,layers ,neurons ,offline ,error_function ,train_mean ,train_std  ,test_mean ,test_std
0.7 ,1.0 ,     3 ,    128 ,      0 ,             0 ,  0.571786 ,0.13007    , 0.58583  ,0.129557
0.7 ,1.0 ,     4 ,     32 ,      0 ,             0 ,  0.443643 ,0.022244   , 0.451164 ,0.0173144
0.7 ,1.0 ,     3 ,    128 ,      1 ,             0 ,  1.01691  ,0.0828371  , 1.02528  ,0.123832
0.7 ,1.0 ,     4 ,     32 ,      1 ,             0 ,  0.416497 ,0.00336552 , 0.447756 ,0.00643172
0.7 ,1.0 ,     2 ,     64 ,      0 ,             0 ,  0.477281 ,0.0218999  , 0.489243 ,0.0142446
0.7 ,1.0 ,     2 ,     64 ,      1 ,             0 ,  0.928071 ,0.0883528  , 0.915709 ,0.106604
