**********
SEED 1
**********
Running Online Backpropagation...
Iteration 112	 Training error: 1.22444	 Test error: 1.14067
Iteration 113	 Training error: 1.22444	 Test error: 1.14067
Iteration 114	 Training error: 1.22444	 Test error: 1.14068
Iteration 115	 Training error: 1.22444	 Test error: 1.14068
Iteration 116	 Training error: 1.22444	 Test error: 1.14068
Iteration 117	 Training error: 1.22444	 Test error: 1.14068
Iteration 118	 Training error: 1.22444	 Test error: 1.14068
Iteration 119	 Training error: 1.22444	 Test error: 1.14068
Iteration 120	 Training error: 1.22444	 Test error: 1.14068
Iteration 121	 Training error: 1.22444	 Test error: 1.14068
Iteration 122	 Training error: 1.22444	 Test error: 1.14068
Iteration 123	 Training error: 1.22444	 Test error: 1.14068
Iteration 124	 Training error: 1.22444	 Test error: 1.14068
Iteration 125	 Training error: 1.22444	 Test error: 1.14068
Iteration 126	 Training error: 1.22444	 Test error: 1.14068
Iteration 127	 Training error: 1.22444	 Test error: 1.14068
Iteration 128	 Training error: 1.22444	 Test error: 1.14068
Iteration 129	 Training error: 1.22444	 Test error: 1.14068
Iteration 130	 Training error: 1.22444	 Test error: 1.14068
Iteration 131	 Training error: 1.22444	 Test error: 1.14068
Iteration 132	 Training error: 1.22444	 Test error: 1.14069
Iteration 133	 Training error: 1.22444	 Test error: 1.14069
Iteration 134	 Training error: 1.22444	 Test error: 1.14069
Iteration 135	 Training error: 1.22444	 Test error: 1.14069
Iteration 136	 Training error: 1.22444	 Test error: 1.14069
Iteration 137	 Training error: 1.22444	 Test error: 1.14069
Iteration 138	 Training error: 1.22444	 Test error: 1.14069
Iteration 139	 Training error: 1.22444	 Test error: 1.14069
Iteration 140	 Training error: 1.22444	 Test error: 1.14069
Iteration 141	 Training error: 1.22444	 Test error: 1.14069
Iteration 142	 Training error: 1.22444	 Test error: 1.14069
Iteration 143	 Training error: 1.22444	 Test error: 1.14069
Iteration 144	 Training error: 1.22444	 Test error: 1.14069
Iteration 145	 Training error: 1.22444	 Test error: 1.14069
Iteration 146	 Training error: 1.22444	 Test error: 1.14069
Iteration 147	 Training error: 1.22444	 Test error: 1.14069
Iteration 148	 Training error: 1.22444	 Test error: 1.14069
Iteration 149	 Training error: 1.22444	 Test error: 1.14069
